ह्स्तयोः प्रयोगे
सम्पादनं करोति
वर्षे प्यारासिंहः
ऐंजिल्स् अगच्छत्
तमेवर्षे कारागारात्
विमोचस्य पश्चात्
गफार् सहोदरेण
वर्धानगरे अवसत्
वर्षे गान्धीविचारप्रसारार्थं
विदेशयात्रायै न्यर्गच्छत्
वर्षे जनवरीमासस्य
दिनाङ्के बिहारराज्ये
सञ्जातः महान्
भूकम्पः दलितानाम्
कृतस्य दुश्शासनस्य
दैवदत्तं इत्येतत्
गान्धेः ठाकूरः
दृढम् अखण्डयत्
वर्षे ओरिस्साराज्यम्
पृथक् कृतम्
वर्षे प्यारासिंहः
भौतिकशास्त्रे विशेषयोग्यतया
स्नातकोत्तीर्णः अभवत्
वर्षे अष्टमे
दिनाङ्के इण्डिया
रेडियो आकाशवाणी
निर्दिशन्ति नामान्तरं
प्राप्तम् वर्षे
शिकागोविश्वविद्यालये ब्रह्माण्डकिरणविषयाधारिते
अन्ताराष्ट्रियपरिसंवादसम्मेलने वर्षे
प्रचलिते विज्ञानिनां
सम्मेलने ग्लैकोजन्
नामकं पिष्टं
प्रथमवारं परीक्षाप्रनाले
सङ्गृह्य प्रदर्शयताम्
तमवर्षस्य मेजूनमासयोः
स्विस् वायुसेना
मित्रपक्षस्य आक्सिस्देशस्य
युध्दविमानैः युध्दं
कृत्वा लुप्टवाटिविमानानि
अनाशयत् तमस्य
दशकस्य अन्ते
रविशङ्करस्य शास्त्री
इत्याख्यया नर्तक्या
प्रेमसम्बन्धः आसीत्
वर्षे वर्षे
प्रारम्भिकदिनेषु इन्दिरा
श्वासकोशरोगपीडिता भूत्वा
निवारणार्थं स्विट्सर्लण्ड्देशे
अवसत् तमस्य
वर्षस्य अगस्तमासस्य
दिनाङ्के आङ्ग्लाः
महात्मासरदार इत्यादीन्
नायकान् कारावासं
प्रेषितवन्तः तमस्य
वर्षस्य अगस्तमासस्य
पञ्चादशदिनाङ्कस्य प्रातःकाले
सरोजिनी नायडु
महादेवं दर्पणं
दृष्टवती वर्षे
इन्दिराप्रियदर्शिनी फारसीमतानुयायिनं
देशभक्तं फिरोजगान्धिं
परिणीतवती वर्षे
महात्मना हिन्द
आन्दोलनमारब्धम् वर्षे
तमस्य वर्षस्य
माघमासस्य त्रयोदश्यां
मन्दिरस्य प्रतिष्ठा
अभवत् वर्षे
बर्मादेशे नेताजी
आसीत् किन्तु
अग्रे गमनम्
असफलम् अभवत्
वर्षे कारागारात्
मुक्तः अभवत्
संवत्सरे मेक्सिकोदेशस्य
कृषिकेन्द्रे सस्यरोगशास्त्रज्ञत्वेन
कार्यम् आरब्धवान्
तमसंवत्सरं पर्यन्तं
प्रदेशोऽयं निजाम्राज्ञा
शासितस्य हैदराबाद्राज्यस्य
आसीत् तमस्य
वर्षस्य अगस्तमासस्य
पञ्चदशे दिनाङ्के
भारतगणराज्यं स्वतन्त्रम्
घोषणा अभवत्
वर्षे धर्माधारितं
भारतविभाजनं पाकिस्थानस्य
अभूत् वर्षे
नवदेहेलीनगरे राष्ट्रियविज्ञानकाङ्ग्रेस्संस्थया
योजितस्य मानवजनिशास्त्रविभागस्य
सम्मेलनस्य अध्यक्षा
आसीत् वर्षे
भारतदेशः स्वतन्त्रतां
प्राप्तवान् वर्षे
भारतस्य विभजनानन्तरं
तदीयं कुटुम्बं
भारतं प्रति
आगतम् वर्षे
भारतं स्वतन्त्रं
जातम् वर्षे
स्वातन्त्र्यम् अलभत्
सर्वकारः महात्मनः
मृत्युविषये सङ्घं
प्रति प्रतिबन्धं
कृत्वा अकारणं
स्वयंसेवकान् अपीडयत्
वर्षे भारतगणराज्यं
स्वतन्त्रम् अभवत्
उक्तेषु क्षेत्रेषु
दृढरीत्या कार्यम्
आरब्धम् पर्यन्तम्
धर्मपुरी मण्डलस्य
उपजनपदम् आसीत्
यल्लाप्रगडसुब्बरावः बहूनाम्
औषधानां संशोधकः
तमस्य वर्षस्य
वैज्ञानिकमानवशक्तिसंस्थायाः इतिवृत्तस्य
सूक्श्ह्मचिन्तने सज्जीकरणे
महत्त्वपूर्णं पात्रम्
अवहत् संवत्सरे
कोलकतानगरस्य सेण्ट्
मेरीस् प्रौढशालायां
भूगोलशास्त्रस्य अध्यापिका
आसीत् वर्षे
जनवरी देशमुखवर्यस्य
मार्गदर्शनेन रिसर्व्
बेङ्क् संस्थायाः
राष्ट्रीकरणं जातम्
वर्षे मद्रास्सर्वकारेण
राष्ट्रकविः इत्येषा
प्रशस्तिः प्रदत्ता
मान्यगोविन्दवर्याय वर्षे
ग्रीष्मकाले प्रप्रथमं
लोहपुरुषस्य अस्वस्थतायाः
चक्रम् आरब्धम्
वर्षे इत्यस्य
प्राथमिकम् अध्ययनं
शारदामन्दिरनामिकायां शालायाम्
आरब्धम् संवत्सरे
स्थापिता संस्था
आभारते व्यापृता
तमस्य वर्षस्य
मासस्य दिनाङ्के
भारतस्य प्रथमः
राष्ट्राध्यक्षः राजेन्द्रप्रसादः
अस्मिन् मन्दिरे
ज्योतिर्लिङ्गस्य स्थापनां
कृतवान् वर्षे
प्यारिस्नगरे एतयोः
संयुक्ताश्रयेण वार्षिकसम्मेलनं
सञ्जातम् वर्षे
विद्यार्थिसङ्घस्य अध्यक्षः
सञ्जातः पर्यन्तं
केन्द्रीयमन्त्रिमण्डले मन्त्रिरूपेण
परिवहनमन्त्रीरूपेण कार्यभारं
निरूढवान् वर्षे
अभिनयम् आरब्धवान्
वर्षे काङ्ग्रेस्पक्षस्य
मण्डलाध्यक्षरूपेण राजनैतिकक्षेत्रं
प्राविशत् वर्षे
एन्देन्दू मुगियद
सङ्कलनेन साहित्य
कृषिः आरब्धा
वर्षे कोचरवर्येण
जैनमन्दिरस्य स्थापना
वर्षे तमवर्षस्य
राज्यपुनर्विभागसमितेः सूचनानुगुणम्
मण्डलं मद्रास्
राज्यस्य अभवत्
वर्षे बाबासाहेब
आम्बेडकर महोदयः
स्वस्य अनुयायिभिः
बौद्धधर्मं प्रविष्टवान्
वर्षे सर्लुड्विग्गुथिमन्वर्यः
विकलाङ्गजनानां प्रति
कार्यक्रमः स्टोक्माण्डिवो
क्रीडा आयोजितवान्
मध्ये भाषानुसारिप्रान्तनिर्मितिः
इतरमराठवाडामण्डलानाम् मण्डलस्य
समावेशः बोम्बे
प्रेसिडेन्सि इत्यस्मिन्नेव
आसीत् वर्षे
बलवीरसिंहः राष्ट्रियविजेतृगौरवं
प्राप्नुवन् त्रयोदशवारं
विजेता अभवत्
वर्षे संवृत्ते
चन्दुर्तिसङ्ग्रामे ब्रिटिष्
सैन्येन फ्रेञ्च्
सैन्यं पराजितम्
वर्षे राष्ट्रस्य
प्रमुखसंस्थारूपेण उद्घोषिता
अभवत् वर्षे
कामन्वेल्त्प्रवीणः वर्षे
संयुक्त अमेरिका
संस्थानस्य साहाय्ये
स्थापितः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
मध्ये सम्पूर्णप्रतिमायाः
पुनर्निर्माणस्य कार्यम्
अभवत् वर्षे
अमेरिका चर्चास्पदः
विषयः आसीत्
वर्षे पञ्चाल
विज्ञान नामके
महाविद्यालये विज्ञानविषयं
पठितुं प्रवेशं
स्व्यकरोत् वर्षे
ग्रीष्मविकलाङ्ग ओलम्पिक्क्रीडोत्सवेsummer
क्रीडा मुख्यस्थानं
प्राप्तम् वर्षे
वर्षे मुम्बई
प्रेसिडेन्सीविभागस्य भाषाऽधारेणैव
गुजरात महाराष्ट्रः
विभाजनम् अभवत्
वर्षे भारतसाधुसमाजस्य
अध्यक्षत्वेन पर्यन्तं
गडचिरोलीमण्डलं केन्द्रीयप्रशासनाधिपत्ये
आसीत् पर्यन्तं
पश्चिममहाराष्ट्रविभाग मुम्बईराज्ये
मराठवाडाविभागस्य उपमण्डलानि
हैदराबाद्संस्थाने विदर्भविभागस्य
मण्डलानि मध्यप्रान्ते
इदानीन्तनमध्यप्रदेशे समाविष्टानि
तमवर्षस्य अधिनियमानुसारं
सप्तस्थानेषु एतानि
स्थापितानि तमस्य
वर्षस्य जनवरी
भारतीयविज्ञानपरिषदः अष्टचत्वारिंशत्तमे
अधिवेशने वर्षे
जर्मनजनवादिगणतन्त्रस्य विज्ञानअकादमीबर्लिन्संस्थया
वर्षे विक्रमः
अणुशक्तिसमितेः पञ्चसु
सभ्येषु एकत्वेन
वर्षे गुजरातस्य
समरकण्डतः निर्वाचितः
समाजवादिनीत्या सर्वकारस्य
अवधानम् आकृष्टवान्
तमस्य वर्षस्य
नवेम्बर् दिनाङ्के
अन्तर्गणस्य विलयनं
विध्युक्तरीत्या राज्यत्वस्य
घोषणं जातम्
वर्षे भारतदेशे
अन्तरिक्षअनुसन्धानार्थं काऽपि
परियोजना प्रयोगशाला
नासीत् वर्षे
जवाहरलालनेहरुः पार्श्वरोगेण
दिवङ्गतः अभवत्
वर्षे सञ्जातात्
झञ्झावातकारणात् एतदेकं
मन्दिरं विहाय
अन्यत्सर्वम् नष्टम्
अभवत् वर्षस्य
आक्टोबरमध्ये कैरामण्डलस्य
यात्रया प्रभावितः
आणन्द इत्यत्र
यशस्वी प्रयोग
शेषराष्ट्रमपि अनुकरोतु
प्रचोदितवान् वर्षे
भारतपाकिस्थानयोः युद्धत्वात्
गन्तुं शक्तवान्
वर्षे जनवरी
सन्धानपत्रे हस्ताक्षरं
कृतमभवत् वर्षे
भारतीयविज्ञानकॉङ्ग्रेसवाराणस्याः अधिवेशाध्यक्षपदं
व्यभूषयत् वर्षे
हिरोशिमानगरस्य शासनतन्त्रेण
उद्घोषितं एतस्य
भवनस्य संरक्षणं
करिष्यामः तद्भवनस्य
हिरोशिमाशान्तिस्मारकम् गेन्बाकु
भविष्यति तमस्य
वर्षस्य ऑगस्ट्मासे
स्थापना आसीत्
वर्षे राज्यसर्वकारेण
आङ्ग्लभाषा अधिकृतभाषात्वेन
अङ्गीकृता वर्षे
काव्यसङ्ग्रहः पुस्तकं
प्राकाशयत् वर्षे
गान्धीजन्मशताब्द्याः पदयात्रायाः
घोषणाम् अकरोत्
वर्षे राजधनं
स्थगितम् अभवत्
वर्षे अप्रिल्मासस्य
दिनाङ्के संयुक्तानि
राज्यानिदेशस्य नेवाडाराज्यस्य
वेगस्las जन्मप्राप्तवान्
पक्षोऽयं क्रमशः
माराठीराष्ट्रवादं त्यक्त्वा
हिन्दूराष्ट्रवादं समर्थितवान्
वर्षे यूनियन्
सोवियत् सोषियलिस्ट्
रिपब्लिक् इत्यस्य
विज्ञानअकादम्याः विदेशीसदस्यत्वेन
नियुक्तः वर्षे
करुणानिधिमहोदयः स्वस्य
स्थापना तमिळनाडुराज्यस्य
मुजिबुररहमान्तमिळनाट्टिन्मुजिबुररूपेण कृतवान्
विरोधं कृत्वा
रामचन्द्रन् पक्षत्यागं
कृतवान् वर्षे
क्वीन्स्विश्वविद्यालये प्रशिक्षणवर्गम्
अचालयत् यस्मिन्
अमेरिकाकेनडातः आगताः
युवानः भागम्
अवहन् वर्षे
प्रति प्रेषितं
म्यारिनर्यानं वर्षद्वयं
प्ररिक्रम्य ग्रहस्य
भागमात्रस्य मानचित्रं
सम्पाद्य प्रत्यागच्छत्
रघुनाथ अनन्त
माशेलकर भारतीयः
वैज्ञानिकः तमस्य
वर्षस्य नवम्बरमासस्य
एकोनविंशतितमे दिनाङ्के
हृदयाघातेन ग्रस्ता
तमस्य वर्षस्य
मार्चमासस्य अष्टादशे
दिनाङ्के विश्वविद्यालयस्य
छात्राः सर्वकारविरोधिप्रदर्शनम्
अकुर्वन् आपात्कालं
समर्थित्वा केपक्षः
कांग्रेसपक्षस्य समीपं
आगतवान् वर्षे
वर्षे गुण्टूरुसमीपे
नागार्जुनानगरे आचार्यनागार्जुननाम्ना
विश्वविद्यालयः संस्थापितः
वर्षे भारतीय
विद्यार्थी परिषद्
इत्यस्य सङ्घटनस्य
सङ्घटनमन्त्री आसीत्
संवत्सरे रोम्देशे
ब्रदर्स् वर्ल्ड्
संस्थां स्थापितवती
वर्षे उद्योगाय
त्यागपत्रम् अददात्
तमस्य वर्षस्य
जुलाईमासस्य षोडशे
दिनाङ्के मोरारजी
देसाई स्वमन्त्रिमण्डलस्य
त्यागपत्रं राष्ट्रपतये
श्रीसञ्जीवाय अयच्छत्
तमस्य वर्षस्य
मासस्य शुक्लपक्षस्य
एकादश्यां तमस्य
वर्षस्य जनवरी
मासस्य अष्टाविंशतितमे
दिनाङ्के मन्दिरस्य
प्रतिष्ठा अभवत्
वर्षे हरप्पासंस्कृतेः
मृद्भाण्डानि प्राप्तानि
वर्षे स्वीये
हरियाणराज्यस्य जनतापक्षस्य
अध्यक्षा तमेषु
वर्षेषु रामण्णः
रक्षणसंशोधनसंवर्धनकेन्द्रस्य संस्थायाः
निर्देशकत्वेन कार्यम्
अकरोत् तमवर्षपर्यन्तम्
उच्चजन्ममानेन मृत्युमानस्य
ह्रासेन जन्ममानमृत्युमानयोः
अन्तरम् अधिकम्
अभवत् तमस्य
दशकम् मम्मुट्टेः
प्रदर्शनाय विमुक्तं
प्रथमं चित्रं
वर्षे गुज्रालः
रष्यादेशे भारतस्य
राजदूतरूपेण अभवत्
वर्षे सेवाग्रामआश्रमस्य
अध्यक्षं पत्रम्
अलिखत् प्रति
श्रीसेवाग्रामआश्रमस्य अध्यक्ष
नवतिवर्षिया अभवम्
तमस्य वर्षस्य
नवम्बरमासस्य द्वाविंशतितमे
दिनाङ्के गान्धीस्मारकसमित्या
मीरायाः नवतितमस्य
जन्मदिनस्य उत्सवः
आचरितः वर्षे
अक्टोबर् मासस्य
दिनाङ्के देशमुखवर्यः
दिवङ्गतः वर्षे
विश्वपरम्परास्थानानां सूच्यां
ताजमहल् योजितम्
अस्ति तमस्य
वर्षस्य अक्तूबरमासस्य
एकत्रिंशत्तमे दिनाङ्के
इन्दिरा गान्धी
इत्यस्याः मृत्युः
तस्याः निवासस्थाने
अभवत् वर्षे
रामन् मेग्सेसे
प्रशस्तिः प्राप्ता
वर्षपर्यन्तं श्रीनारायणः
अमेरिका आसीत्
तमक्रैस्ताब्दस्य आगस्ट
दिनाङ्के समग्रबेङ्गळूरुमण्डलं
ग्रामीणं द्विधा
विभक्तम् तमवर्षस्य
डिसेम्बर्मासस्य द्वितीये
दिनाङ्के अपराह्णे
त्रिवादने धनबीर्सिंहः
मित्राणि क्रीडितुम्
एकत्र सम्मिलिताः
दिनाङ्के चरणसिंहस्य
मरणानन्तरम् एतस्य
पुत्रः अजितसिंहः
चरणसिंहेन स्थापितस्य
भारतीयलोकदलपक्षस्य नायकः
अभवत् वर्षे
समाजवादिमित्रैः कर्णाटकप्रगतिरङ्गवेदिकायाः
निर्माणे लङ्केशः
महत्तरम् पात्रं
निरवहत् तमस्य
वर्षस्य मार्च्मासस्य
दिनाङ्कतः अक्टोबर्मासस्य
दिनाङ्कपर्यन्तम् कार्यं
निरवहत् संवत्सरे
देशीयजनेभ्यः ग्लास्नास्ट्नीतीः
परिचायितवान् मार्च
वर्षे सिद्धगङ्गामठस्य
उत्तराधिकारी तमवर्षस्य
सेप्टम्बर्मासस्य दिनाङ्के
उत्तर आर्काट्
मण्डलं तिरुवण्णामलै
सम्बुवरायर् उत्तर
आर्काट् अम्बेड्कर्
द्विधा विभक्तम्
तमवर्षस्य सेप्टम्बर्
मासस्य दिनाङ्के
उत्तर आर्काट्मण्डलं
तिरुवण्णामलैमण्डलम् सम्बुवरायर्
उत्तर आर्काट्मण्डलम्अम्बेड्कर
द्वेधा विभक्तम्
निर्वाचने वर्षे
भारतीयजनतापक्षेण महोन्नतिः
आसादिता तमस्य
वर्षस्य मार्चमासे
अटलबिहारिवाजपेयिवर्यस्य नेतृत्वे
प्रथमः काङ्ग्रसेतरसर्वकारः
संरचितः वर्षे
सम्मतम् चित्रात्
प्रथमतया तमिळभाषाचित्ररङ्गप्रवेशमकरोत्
तमवर्षपर्यन्तं प्रधानमन्त्री
आसीत् वर्षे
प्रथमवारं बहुपक्षाणाम्
मध्ये मुक्तनिर्वाचनं
जातम् वर्षे
लोकसभानिर्वाचनम् अभवत्
संवत्सरे विश्वविख्यातं
नोबेल् पुरस्कारं
प्राप्तवती वर्षे
हृदयस्य दुर्बलतायाः
कारणेन श्रीसत्यजित्
अधिकः अस्वस्थ्यः
अभवत् वर्षे
छोकरी इत्येतयोः
चलच्चत्रयोः अभिनयस्य
आधारेण राष्ट्रियचलच्चित्रपुरस्कारं
प्रापत् वर्षे
पक्षाघातेन अस्वस्था
तमस्य वर्षस्य
आगस्ट्मासस्य दिनाङ्के
तिरुवनन्तपुरे दिवङ्गता
वर्षे शिवराज
चौहान विदिशा
लोकसभाक्षेत्रात् संसद्सदस्यत्वेन
संवत्सरे फेब्बर्वरि
सूर्यं परिक्रम्य
प्रत्यागमन वेलायाम्
धूमकेतुः निश्चयं
कृतवन्तः तमस्य
वर्षस्य अप्रैलमासस्य
षड्विंशतितमे दिनाङ्के
वाजपेयी रचितस्य
सर्वकारस्य पतनम्
अभवत् वर्षे
ऐजोलमण्डलस्य विभाजनं
कृत्वा मामितमण्डलस्य
स्थापना वर्षस्य
प्रथमे दिनाङ्के
जानवरी मासस्य
भारतीयजातीयकांग्रेसात् बहिरागत्य
पक्षस्य स्थापना
वर्षे कनकपुरे
प्रचलितस्य कन्नडसाहित्यसम्मेलनस्य
अध्यक्षस्थानं समलङ्करोत्
श्रीयुतः भैरप्पः
वर्षे प्रशासनसौकर्यार्थं
लातूर विभिन्नं
मण्डलं सर्वकारेण
वर्षे भारतीयजनतापक्षस्य
नेतृत्वे राष्ट्रियगणतान्त्रिकमैत्रिकूटः
अधिकारं प्राप्नोत्
षड्वर्षाणि यावत्
अत्यन्तं निष्ठया
देशस्य प्रगतिम्
असाधयत् वर्षे
मम्मुट्टिः स्वस्य
तृतीयां राष्ट्रियां
प्रशस्तिं डाबाबा
साहेब् अम्बेड्कर्
इङ्ग्लीष् भाषायाः
चलनचित्राय समार्जयत्
उद्वाहे विवहति
सितम्बरदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
द्विशताधिकद्वाषष्टितमं दिनम्
अङ्गुलं यावत्
दीर्घाणि कण्टकानि
भवन्ति इत्यादि
श्रुतिः कारणव्यतिरेकेण
कार्यस्यानन्यत्वं प्रतिपादयति
गुणवत्ताङ्काः प्राप्ताः
सन्ति जूनदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य एकशताधिकद्विपञ्चाशत्तमं
दिनम् प्रथमं
क्रिस्ताब्दतः पूर्वं
प्रथमशताब्द्याम् द्वितीयं
क्रिस्ताब्दतः पश्चात्
पञ्चमशताब्द्याम् तृतीयं
क्रिस्ताब्दतः पश्चात्
षष्ठशताब्द्याम् तस्माद्यथोक्तसाधनसंपत्त्यनन्तरं
ब्रह्मजिज्ञासा कर्तव्या
प्रति भारतीयराष्ट्रध्वजस्य
स्थानं सर्वेषु
ध्वजेषु मध्ये
दक्षिणहस्ते भवेत्
रणभूमियुतं कुरुभूमियुतं
प्रतिभाति किलोइ
शिवायतनम् शिवभूमिरियं
गुरुभूमिरियं श्रमशीलयुतं
हरियानमिदम् रामनगरम्
रामनगरे आञ्जनेयः
चामुण्डेश्वरी लक्ष्मीनारायणः
बसवेश्वरदेवालयः सन्ति
शान्तिनाथ भक्ताम्बरमन्दिर
शान्तिनाथ मन्दिर
भोमियाजी मन्दिर
साक्षराः सन्ति
सिंहयुद्धक्रीडा क्रीडा
यिजीन सैण्डो
नामकेनयस्याभिधानं फ्रेडरिक
विलियम्स युजीन
सैण्डो अस्ति
वर्तमानयुगे विहिता
तमस्य वर्षस्य
नवेम्बर्मासे केनरा
ब्याङ्क् इत्येतस्य
व्यवहारं प्रतिस्वीकृतिद्वारा
समापयत् वर्षप्राचीनः
अस्ति राज्यस्येतिहासः
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले जनसङ्ख्यावृद्धिः
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले जनसङ्ख्यावृद्धिः
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले जनसङ्ख्यावृद्धिः
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले जनसङ्ख्यावृद्धिः
अस्मिन् मण्डले
जनसङ्ख्यावृद्धिः अस्मिन्
मण्डले जनसङ्ख्यावृद्धिः
तमस्य वर्षस्य
अक्तूबरमासात् आरभ्य
भारतस्य सर्वाधिकेषु
समृद्धेषु प्रगतिशीलेषु
राज्येषु एकतमस्य
गुजरातराज्यस्य मुख्यमन्त्रित्वेन
तावत् पर्यन्तं
महासचिवपदे आसीत्
वर्षे केशुभाई
इत्यस्य पदभ्रष्टतायाः
आनन्दीबेन नरेन्द्र
इत्यस्य विचारैः
सम्मता आसीत्
वर्षस्य जनगणनायां
केरलराज्यस्य जनसङ्ख्या
अभवत् वर्षे
संयुक्तराष्ट्रसंघस्य पूर्ण
प्रमाणस्य सदस्यत्वं
स्वीकृतं जनाभिप्रायसङ्ग्रहद्वारा
षोडषवर्षीयः विम्बल्डन्
मध्ये प्रचलितायां
बालकानां व्यक्तिगत
सरण्यां उपान्तिमस्तरं
प्रविष्टवानासीत् तमस्य
वर्षस्य फरवरीमासस्य
प्रथमे दिनाङ्के
सम्पूर्णं विश्वं
रुदत् आसीत्
वर्षे तत्कालीनकेन्द्रसर्वकारेण
राष्ट्रीयमहत्त्वस्य संस्थानम्
उद्घोषितम् जातम्
राष्ट्रियप्रौद्योगिकीसंस्थानकर्णाटकेति अभवत्
तमस्य वर्षस्य
मईमासस्य अष्टाविंशतितमे
दिनाङ्के आजीविकामार्गदर्शनशिबिरस्य
आयोजनम् आसीत्
वर्षे भारतएप्रतिनिधिरूपेण
केन्याप्रवासाय वर्षे
ईशान्यप्रावृषः नैर्ऋत्यप्रावृषः
प्रभावेण वृष्टिः
ख्रिष्टाब्दे ट्रान्स्पैरेन्सीइन्टर्नेश्नल्
इत्यनेन कारितेऽध्ययने
एकस्मिन् ज्ञातं
भारतीयाः लोककार्यालयेषु
कार्यस्य सम्पादनार्थं
प्रत्यक्षतया उत्कोचप्रदाने
प्रभावप्रयोगे अनुभवं
सन्ति तमवर्षतः
अस्याः क्रीडायाः
विषये भारतस्य
गौरवं वर्धितवान्
अस्ति वर्षे
जनानां जनाभिप्रायस्य
सङ्ग्रहणं महामरीचिका
ब्रिटन्देशस्य प्रियपाके
उपयुज्यमानेषु शाकेषु
चतुर्थे स्थाने
आसीत् संवत्सरस्य
जून्मासस्य दिनाङ्कतः
अतिसारेण पीडितावैद्यालयं
प्राप्तवती तमवर्षस्य
नवम्बर् दिनाङ्के
अरियलूरुमण्डलस्य पुनर्जन्मः
अभवत् तमस्य
वर्षस्य अन्तिमे
बहुचर्चितं चलच्चित्रं
वैलकमचलच्चित्रं चलच्चित्रगृहेषु
प्रसिद्धम् अभवत्
वर्षे फराखान्
इत्यस्य निर्देशने
अन्ताराष्ट्रियख्यातियुते बालिवुड्
चलनचित्रे शान्ति
इत्येतस्मिन् प्रथमतया
शारुख् इत्येतेन
अनटत् मध्ये
मध्यएषिया तमवर्षं
यावत् क्षेत्रम्
अनुसूचितजनजातीयानां आरक्षितम्
आसीत् मध्ये
बनारस् हिन्दुविश्वविद्यालयेन
मानदपदव्या अलङ्कृतः
जोकोविक् सर्बियादेशस्य
बेल्ग्रेड्नगरे सर्बिया
ओपन्क्रीडायां लुकास्
कुबोत्łukasz विरुद्धं
प्राप्तवान् तमस्य
आस्कर् इत्यस्याः
प्रशस्तेः विजेतस्य
चित्रस्य मिलियनेर्
वाण्ट् मिलियनेर्
कार्यक्रमस्य स्पर्धायां
जञ्जीर् चित्रस्य
नायकः तमस्य
वर्षस्य डिसेम्बर्मासे
दिनाङ्के प्रतिपक्षनायिकारूपेण
कृष्ण आडवाणीवर्यस्य
स्थाने नियुक्ता
वर्षे पुण्यपत्तने
विद्यमाने लोहगांववायुक्षेत्रे
सुखोय् विमाने
अर्धघण्टां यावत्
उड्डयमाना एतादृशसाहसकार्यं
कुर्वती विश्वस्य
प्रथमा राष्ठ्राध्यक्षातमे
संवत्सरे फ्रीडम्
ग्लास्को पुरस्कारं
प्राप्तवती पक्ष्म
शरीरस्य किञ्चन
अङ्गम् अस्ति
हान्स् हालेण्ड्
देशीयः मलेरिया
कश्चन रोगविशेषः
श्रीलङ्का एशियामहाद्वीपे
दक्षिणदिशि विद्यमानः
कश्चन हेजागिरी
धलाइमण्डलं त्रिपुराराज्ये
स्थितं मण्डलम्
तमस्य वर्षस्य
जुलाईमासस्य सप्तमे
दिनाङ्के पश्चिमदेशस्य
स्विट्झर्ल्याण्ड् देशस्य
पेयर्नमहानगरस्य विमानस्थानकात्
सौरविमानं प्रप्रथमवारं
सफलतया उदडयत
तमस्य वर्षस्य
जूनमासे जिम्बाब्वेदेशस्य
विरुद्धं श्रृङ्खलायां
भारतीयदले विराट्
आसीत् वर्षे
यूट्यूब्माध्यमेन क्रीडायाः
प्रसारम् ऐदम्प्राथम्येन
कृतम् तमस्य
वर्षस्य जनगणतेः
अनुसारं कोंडगावस्य
जनसङ्ख्या तमस्य
वर्षस्य अक्तूबरमासे
स्वस्य एकनवतितमः
जन्मदिवसः श्रीलक्ष्मणेन
उत्साहेन महानगरे
आचरितः तमस्य
वर्षस्य डिसेम्बर्मासतः
उपग्रहाः अस्यां
व्यवस्थायां कार्यरताः
सन्ति वर्षे
कैटरीना कृष्ण
आचार्यइत्याख्येन निर्देशिते
नामके चलच्चित्रे
कार्यम् अकरोत्
वर्षे प्राप्तसर्वाधिकपारिश्रमिकासु
भारतीयाभिनेत्रीषु द्वितीये
क्रमाङ्के आसीत्
एशिया क्रीडाः
कश्चन क्रीडोत्सवः
अस्ति तमस्य
वर्षस्य दिसम्बर
मासस्य एकोनत्रिंशत्तमे
दिनाङ्के प्रकल्पसम्बद्धायाः
कार्यशालायाः आयोजनम्
अभवत् तमस्य
वर्षस्य मेमासस्य
दिनाङ्के विदेशीयमन्त्री
तमस्य वर्षस्य
मेमासे निर्वाचने
तस्याः पक्षेण
महान् विजयः
प्राप्तः तमस्य
वर्षस्य मार्च
सोनिसंस्थायाः अध्यक्षः
केनिचिरो अवदत्
अस्माकम् जङ्गमदूरभाषयन्त्रस्य
निर्माणकार्यशालां भारते
स्थापयिष्यामः वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् इतीमान्येकविंशति
पृथिवीनामधेयान्यनुक्रान्तानि तमस्य
शतकस्य अत्युत्कृष्टेषु
अध्यात्मपुस्तकेषु अन्यतमम्
वर्षे समुद्दिष्टमस्ति
अध्यात्मलेखकालोचकमण्डल्या वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् शतकस्य
अनन्तरीयं कालम्
आधुनिककन्नड् मत्वा
नूतनयुगमिति परिगणनीयं
भवेत् सितम्बरदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य द्विशताधिकत्रयःषष्टितमं
दिनम् अटवीभूमिः
विस्तृता मण्डलस्य
भूभागे अर्जुनस्य
प्रश्नः भगवतः
उत्तरं पुरुषः
प्रकृतिस्थो फरवरीदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य द्विपञ्चाशत्तमं
दिनम् मार्चदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य अशीतितमं
दिनम् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
