ប្លាតុង ក្នុងរូបាធិដ្ឋាននៃគុហារបស់លោក
ឃើញតែសាមណេរ តូចមួយឣង្គប៉ុណ្ណោះ
ព្រះសាស្តា ទ្រង់ត្រាស់ថា
នេះហើយ គឺព្រះថេរៈ
ភិក្ខុទាំងនោះ ក្រាបទូល
សួរថា ចុះព្រះថេរៈឣី
ក៏តូចម៉្លេះ មិនត្រូវនឹងនិព្វានធាតុ
ធម៌មិនត្រូវគ្នាដូច្នេះឯង ក្នុង​ពេល​ប្រជុំ​ម្ដងៗ​
រមែង​មាន​ជន​គ្រប់​ជាន់​គ្រប់​ថ្នាក់​ក្សត្រិយ៍​ មន្ត្រី
រាស្ត្រសាមញ្ញប្រុស​ស្រី​ ចាស់​ក្មេង​ជា​ធម្មតា
ឲ្យអង្គុយ​ឲ្យទាប ចុះ​ទី​ត្រង់ណា​ដែល​យើង​សំគាល់​ទុក​ថា​ជា​ទី​ទាប
អ្នក​ចាំ​ទ្វារ​ប្រាប់​ថា អ្នក​ចាំ​ទ្វារ​សួរ​បុរស​វិញ​ថា
ក្រោមឥទ្ធិពលនៃវប្បធម៌ឥណ្ឌា នគរភ្នំបានប្រកាន់យក
និងបន្ត រក្សាកម្មសិទ្ធិមកសម័យអង្គរ
ក្រោយអង្គរ ដោយមានហេតុផលពិតប្រាកដសុទ្ធសាធ
នៃភូមិសាស្ត្រជាប្រវត្តិសាស្ត្រ និងជាតិសាសន៏ខ្មែរយ៉ាងជាក់លាក់
ម៉្យាងវិញទៀត ទំព័រប្រវត្តិសាស្ត្រនៅសម័យអង្គរ
ដោយឡែក ដោយ​មាន​ពួក​បព្វជិត​ខ្មែរ​
ចេញ​ទៅ​ស៊ើប​ព្រះ​ពុទ្ធ​សាសនា​ក្នុង​លង្កា​ទ្វីប​ ក៏​សិក្សា​ហើយ​នាំ​មក​ផ្សាយ​ក្នុង​ប្រទេស​របស់​ខ្លួន​
ឬ​មាន​ទាំង​ព្រះ​សង្ឃ​លង្កា​ឯង​ មក​នៅ​ក្នុង​ប្រទេស​នេះ​ក៏​ថា​បាន
ប្អូន​ឆ្លើយ​តប​ទៅ​នឹង​បង​ថា ខ្ញុំ​មាន​ដៃ​ពីរ​ជើង​ពីរ
គំនិត​មារ​យាទ សម្តេចព្រះមហាសង្ឃរាជទាំងពីរ
ព្រះអង្គ ព្រះសមាធិន្រ្ទីយ
ព្រះបញ្ញិន្រ្ទីយ លុះស្តាប់ព្រះរាជឱង្ការហើយក៏ប្រឹក្សាជាមួយ
ព្រះជីតុនទាំង ព្រះអនិច្ចំ
ទុក្ខំ អនត្តា
ព្រះឥសីទាំងរូប ឆន្ទោ
វិរិយោ ព្រះអានន្ទឆ្លើយតបព្រះបន្ទូលថា
ព្រះករុណាព្រះអង្គដ៏ចំរើន ខ្ញុំព្រះអង្គសូមឲ្យបានស្តាប់ព្រះធម៌
ដោយសេចក្តីរីករាយ នៅក្នុងចិត្តរបស់ខ្ញុំព្រះករុណា
ក៏បាន​បញ្ជាក់​នូវ​ប្រពៃ​ណី​លែង ខ្លួន​នេះដែរ
យោងតាម​ប្រភព​ឯកសារ​បុរាណវិទ្យា យើង​អាច​សន្និដ្ឋានបានថាប្រពៃណីដោះអាវ​នេះ​មាន​តាំងពី​សម័យ​
បុរេប្រវត្តិសាស្ត្រ​ មកម្ល៉េះ
ព្រះអានន្ទតបព្រះបន្ទូលព្រះពុទ្ធថា បពិតព្រះអង្គដ៏ចំរើន
ពុំមានអាទិទេពមកណែនាំខ្ញុំព្រះអង្គទេ ខ្ញុំព្រះករុណាសួរព្រះអង្គ
អំពីហេតុនេះ ដោយការយល់ព្រមរបស់ខ្ញុំព្រះអង្គផ្ទាល់
សិរី​សួស្ដី​ប្រាប់​ទៅ​អព្វ​មង្គល​ថា រិទ្ធ
​អំណាច​អញ​ជា​សិរី​សួស្ដី​នេះ​ខ្លាំង​ពូកែ​ណាស់ សូម្បី​តែ​មនុស្ស​ខ្ញុំ​គេ
គេ​ស្អប់​គេ​មិន​មេត្តា តែ​អញ​ទៅ​ស្ថិត​កាលណា​ឲ្យ​អ្នក​ខ្លះ​ស្នេហា
ទំនុក​បម្រុង​ទាល់​តែ​បាន​រាជ​សម្បត្តិ អាខ្វាក់​បោះ​អណ្តើក​ទៅ​ឲ្យ​យក្ខ​មើល
យក្ខ​ស្មាន​ថា ហើយ​គិត​ក្នុង​ចិត្ត​ថា
ចៃ​វា​ធំ​ប៉ុណ្ណេះ​សម​ខ្លួន​វា​ធំ​មែន រោម​ជើង​ឯង​ធំ​ប៉ុនណា
លាន​នាក់​នៅ​រាយប៉ាយ​ពាសពេញ​អាណាចក្រ ដែល​ច្រើនជាងគេ​ទី
នាពេលនោះ បន្ទាប់ពី​ប្រទេស​ចិន
សម័យ​រាជវង្ស​ឈេង ចក្រភពអង់គ្លេសឥណ្ឌា
ប៉ុន្តែ​នៅតែ​បាន​បង្ហាញ​នូវ​ភាពខ្លាំង​ខាង​ សេដ្ឋកិច្ច
ជាតិពន្ធុ សាសនា
អាខ្វាក់​គ្មាន​ខ្លាច​ស្រែក​តប​វិញ​ថា ​អញ​បិទ​ទ្វារ​សាលា​អញ​ខ្លាច​អី​ឯង
យក្ខ​ឆ្លើយ​ថា មនុស្ស​មក​ពី​ណា​ចិត្ត​ធំ​ដល់​ម្ល៉េះ
គ្រូ​ប្រាប់​ថា​អញ​លាក់​ទុក​នៅ​ទី​ឯ​ណោះ អញ​កាច់​ដើម​ឈូក​ដោត​ជា​សម្គាល់
មានអ្នកបះបោរមួយម្នាក់បានបង្កើតរាជ្សទី ហើយឡើងគ្រប់គ្រងប្រទេសចិនទាំងមូល
គឺរាជវង្សហាន រាជវង្សនេះបានធ្វើអោយចក្រភពទទួលអរិយធម៍ដ៏ត្រចះត្រចង់
ហើយនៅក្នុងឆ្នាំមុនគ ខណៈនោះសុភាសេកនៅស្ងៀមពុំហ៊ានស្ដីតបទ្បើយ
សុភាទន្សាយក៏កាត់សេចក្ដីអោយចៅដែល ដាក់អន្ទាក់នៅដីឈ្នះ
ឯសុភាសេកដែលអង្គុយធ្វើសុភានោះក៏ខ្មាស់គេដោយសារខ្លួនល្មោភជំនូនសាច់ក្ដាន់ក៏ស្ងៀម បែរមុខផ្ទុបទៅនឺងជព្ចាំងដូច
ឆ្មារលបកណ្ដុរ សព្វថ្ងៃយើងអាចស្វែងរកបានជាភាសាខ្មែរផងដែរ
ដោយ​ខ្មែរ​យើង​បាន​ព្រះ​ត្រៃបិដក​បែប​លង្កា​ ដែល​ជា​របស់​ត្រឹមត្រូវ​បំផុត​មក​រៀន​សូត្រ
លុះទ្រង់ព្រះតំរិះហើយទ្រង់ព្រះបញ្ជាប្រើមហាតលិក ហ្មឺនចេតនា
ជាមហាតលិកស្តាំ ហ្មឺនមនសិករោ
ជាមហាតលឹកឆ្វេងថា នែបាទាំងឡាយ
លំដាប់នោះព្រះបាទចិត្តរាជក៏នាំបរិពារទៅរកទីលំនៅ កសាងនគរកាយជាថ្មីដូចមុន
អរគុណ​ដែល​បាន​ចាប់​អារម្មណ៍​ចំពោះ​មុខវិជ្ជា​នេះ សូម​ជូន​ពរ​ការ​ខិត​ខំ​សិក្សា​ទទួល​បាន​លទ្ធផល​ល្អ
អ្នកក្បត់ព្រះយេស៊ូមានអ្នកចង់ក្លាយទៅខេត្តរ៉ូម៉ាំង គ្រប់ពេលវេលារ៉ូម៉ាំងដែលជាផ្នែក
សម្ខាន់បានអត់ឪនសាសនានិយមទាំងអស់គ្នាហើយឪ្យប្រជាពលរដ្ថកំណើតខាងក្រោមស្រីជាតិជីហ្វបានប្រតិបត្តិមិនស្មោះត្រង់របស់ពួកគេ ពួក​ខ្មោច​ក៏​នាំ​គ្នា​ដើរ​មក​ដល់​ជិត​អាប៉ាង​ហើយ​ថា
ទៅ​អាប៉ាង​ទៅ​ផ្ទះ​យើង អាប៉ាង​ថា
អញ​បាន​កង្កែប​មួយ ខ្មោច​ទាំង​នោះ
សួរ​ទៅ​អាប៉ាង​ថា យ៉ាង​ដូច​ម្តេច​អាប៉ាង​កង្កែប​នោះ
​បន្ទាប់ពី​វា​ពង​លើក​ទី​ពីរ​ហើយ​ត្រូវ​ចាប់​លក់​ចេញ​ទាំងអស់ ភ្ញាស់​សារជាថ្មី​ទៀត
ចង្រិត​ពង​តែ​ពីរដង​ទេ​ក្នុង​មួយជីវិត​របស់​វា ចង្រិត​ញី​មាន​ស្លា​បលាត
ឯ​ចង្រិត​ឈ្មោល​មាន​ស្លាប​ក្រ​ញ៉ា​ញ់ អាខ្វាក់​បោះ​ពួរ​ដែល​គេ​ទាក់​ក្របី​ទៅ​ឲ្យ​យក្ខ​មើល​ហើយ​ថា​រោម​ជើង​អញ​ប៉ុណ្ណេះ
យក្ខ​ភិត​ភ័យ​រត់​ត្រឡប់​ទៅ​វិញ អាខ្វាក់​អាខ្វិន​ប្រាប់​ទៅ​នាង​ពៅ​ថា
យក្ខ​វា​ត្រឡប់​ទៅ​វិញ ត្បិត​វា​ខ្លាច​យើង​បើ​ដូច្នេះ​នឹង​មាន​យក្ខ​មក​ទៀត​ឬ​ទេ
រាជគ្រូទាំងរូបនឹករំពឹងទៅក៏ឃើញទោសរបស់បុគ្គលជាពួកអកុសលហើយពិតថេរដឺ ការថា
ទូលព្រះបង្គំជាខ្ញុំទាំងឡាយយល់តាមសម្តេចទាំងអស់ សទ្ធា
ជាហេតុដើម បង្កើតឲ្យមាន
អាសវក្ខយ្យេញាណ ជាផលខាងចុង
ការដឹងនូវកិច្ចប្រតិបត្តិ ដើម្បីកំចាត់បង់
នូវអាសវៈកិលេស គឺអាសវក្ខយ្យេ
ញាណនេះ អាស្រ័យដោយ
សទ្ធាជាបច្ច័យ តើសទ្ធាមានអ្វី
ជាបច្ច័យឲ្យកើតឡើង ពណ៌ខៀវ
ពណ៌លឿង ពណ៌ក្រហម
ពណ៌ហង្សបាទ ស៊ីជម្ពូខ្ចីដូចជើងហង្ស
ផ្លេក ពន្លីពេជ្រ
គឺគេយកពណ៌ទាំង ខាងដើមមួយ
មកដាក់បញ្ចូលគ្នាក្នុងផ្ទាំង នេះជាពណ៌មួយ
សញ្ញាៈ ជា​អ្វី​ដែល​ជម្រុញ​ចូល​ទៅ​ក្នុង​ខួរ​ក្បាល​មនុស្ស​ដោយ​វិញ្ញាណ​ទាំង​
ធ្វើ​ឲ្យ​មនុស្ស​គិត ពិចារ​ណា
បស្សទ្ធិ សេចក្តីស្ងប់អារម្មណ៍
តាមផ្លូវកាយនិងចិត្ត បស្សទ្ធិមានយ៉ាងគឺៈ
កាយបស្សទ្ធិ សេចក្តីស្ងប់កាយ
ស្រួលកាយមិនលំបាក ចិត្តបស្សទ្ធិ
សេចក្តីស្ងប់ចិត្ត មិនរវើរវាយ
បស្សទ្ធិទាំងយ៉ាងនេះ ជាបច្ច័យ
ឲ្យសុខៈ គឺសេចក្តីសុខ
កើតឡើងបាន មាន​ទុក្ខ
ជជែក​ដោះស្រាយ​នឹង​អ្នក​ដែល​និយាយ​តិះ​ដៀល​ដល់​មិត្ត ទទួល​សមគួរ​នឹង​មនុស្ស
ដែល​ជា​អ្នក​និយាយ​សរសើរ​ដល់​មិត្ត ខណិកសមាធិ
សមាធិ​ ដែល​ចិត្ត​មាន​អារម្មណ៍​តែ​មួយ​
ឬ​ចិត្ត​ស្ងប់​កើត​ឡើង​មួយ​ជួរ​ខណៈ តែ​មិន​បាន​យូរ​ប៉ុន្នាន​ក៏​រលត់​ទៅ
ប្រព័ន្ធៈ ជា​សំណុំ​មួយ​ដែល​មាន​ធាតុ​ចាប់​ពី​​ឡើង​ទៅ
ហើយ​ធាតុ​ទាំង​នោះ​មាន​ទំនាក់​ទំនង​គ្នា​ទៅ​វិញ​ទៅ​មក ឧបចារសមាធិ
សមាធិ​ ដែលចិត្ត​ស្ងប់​រំងាប់​ប្រាសចាក​និវរណៈ​ទាំង
តែ​មិន​ជា​អារម្មណ៍​របស់​អង្គ​ឈាន​ មាន​បឋមជ្ឈាន​ជាដើម​នោះ​ទេ​ប៉ុន្តែ
អារម្មណ៍​របស់​ឧបចារសមាធិ​នេះ​ អារម្មណ៍សមាធិ
ដែល​ចិត្ត​ស្ថិត​ក្នុង​សភាព​ជិត​បាន​ឈាន​សមាបត្តិ វេយ្យាករណ៍
មូល​វិជ្ជា វេយ្យាករណ៍
ទម្រង់​និយម​នៃ​ភាសា​ខ្មែរ​ទំនើប ព្រុំ
អប្បនាសមាធិ សមាធិចិត្ត
ដែល​គង់​ស៊ុប​ក្នុង​អារម្មណ៍​នៃ​ឈានសមាបត្តិ មាន​រូបជ្ឈាន​ជាដើម​
ដែល​ចិត្ត​ខណៈ​នោះ​កំពុង​សោយ​អារម្មណ៍​ដែល​​ជា​អង្គ​នៃ​ឈាន​ វិតក្ក
វិចារ ចិត្តេកគតា
អវិជ្ជានុស័យ បដិបត្តិ​បូជា
បូជា​គឺ​ការ​ប្រតិបត្តិ​ត្រឹមត្រូវ​តាម​ធម៌​វិន័យ​ព្រះអង្គ ការ​តែង​និពន្ធ
អាការបរិវិតក្ក កុំ​ប្រកាន់​ជឿ​អ្វី
ដោយ​អាង​ការ​ត្រិះរិះ​មើល​តាម​អាការ មិត្ត​មាន​ឧបការ
មិត្ត​រួម​សុខ​រួម​ទុក្ខ មិត្ត​ណែនាំ​ឲ្យ​បាន​មាន​ប្រយោជន៍
មិត្ត​មាន​សេចក្ដី​ស្រឡាញ់​ខ្ជាប់ខ្ជួន មិត្ត
ចំពូក​នេះ ជា​មិត្ត​ពិត
គួរ​គប់រក ភយតូបដ្នានញ្ញាណ
បញ្ញារបស់អ្នក បំពេញព្យាយាម
ដឹងនូវសេចក្តីកើតឡើង សេចក្តីរលត់ទៅនៃសង្ខារ
ចាស់ក្លាដរាបណា សង្ខារទាំងអម្បាលនេះ
ប្រាកដជាភ័យគួរឲ្យខ្លាច ដូចជាគេឃើញភ្លើង
ឆេះផ្ទះ នេះឈ្មោះថា
ភយតូបដ្នានញ្ញាណ តាមលក្ខណៈខ្យល់ៈ
ព្យាង្គមានបួនយ៉ាង ព្យាង្គបើក
ព្យាង្គបិទ ព្យាង្គវែង
ព្យាង្គខ្ឡី វេយ្យាករណ៍​ខ្មែរ
វេយ្យាករណ៍​ខ្មែរ ក្រសួង​អប់​រំ
ជីវិត​កើត​ពី​ល្ងង់ ខំ​ប្រឹង​ណាស់​ទើប​រស់​ត្រូវ
ចំពោះអរូបាវចរឈានទី អារម្មណ៍ដែលកើតឡើង
ក្នុងមនោទ្វារ ជាភាពសូន្យទទេ
គ្មានអ្វីសោះ ដែលជាលទ្ធផល
នៃការលះបង់ អាកាសានញ្ចាយតនកុសលចិត្ត
ខ្សែវីថិចិត្តក៏កើតឡើង ដូចពីពេលមុន
ហើយនៅទីបញ្ចប់ មានអាកិញ្ចញ្ញាយតនកុសលចិត្ត
ជាអប្បនាជវន ភាសា​ខ្មែរ​ថ្នាក់​ទី
ក្រសួង​អប់​រំ រូបាវចរអប្បនាវីថិទី
កើតឡើងដូចពោលខាងលើ បណ្តោយឲ្យ
រូបាវចរកុសលទុតិយជ្ឈានចិត្ត ឈានទី
បំពេញមុខងារ តែដងជាអប្បនាជវន
រូបាវចរអប្បនាវីថិទី កើតឡើងដូចលេខខាងលើដែរ
បណ្តោយឲ្យរូបាវចរកុសលតតិយជ្ឈានចិត្ត ឈានទី
បំពេញមុខងារ តែដងជាអប្បនាជវន
រូបាវចរអប្បនាវីថិទី កើតឡើងដូចលេខខាងលើដែរ
បណ្តោយឲ្យរូបាវចរកុសលចតុត្តជ្ឈានចិត្ត ឈានទី
បំពេញមុខងារ តែដងជាអប្បនាជវន
ក្នុងលំដាប់ថ្នាក់ខ្ពស់ ទៅកាន់អរូបាវចរឈានទី
យោគាវចរចម្រើនលើ វិញ្ញា
ណញ្ចាយតនកុសលចិត្ត កាលណាសមាធិចិត្ត
បានដល់កំរិតខ្ពស់ហើយ អរូបាវចរ
អប្បនាវីថិក៏កើតឡើង វេយ្យាករណ៍​ខ្មែរ​ពិស្តារ
កាលណាអារម្មណ៍របស់វិញ្ញាណ ជាមហន្តារម្មណ៍
មានកំរិតខ្លាំងមធ្យម វីថិចិត្តកើតឡើង
ដូចគ្នានឹងខាងលើនេះដែរ ប៉ុន្តែវាបញ្ចប់ជាមួយនឹងជវនៈ
គ្មានតទាលម្ពណៈទេ វីថិនេះមានឈ្មោះថា
វិភូតារម្មណ៍វីថិ ឬជវនវារៈវីថិ
កាលណាអារម្មណ៍របស់វិញ្ញាណ ជាអតិមហន្តារម្មណ៍
ភវង្គរញ្ជួយដង ហើយឈប់
ភវង្គចលនៈភវង្គុបច្ឆេទ នៅពេលដែលអារម្មណ៍នោះ
កើតឡើងក្នុងមនោទ្វារ ពេលនោះមនោទ្វារាវចនៈ
បង្វែរខ្សែចិត្តឲ្យងាក ទៅរកអារម្មណ៍របស់វិញ្ញាណ
ពិនិត្យមើលវា ហើយសម្រេចឲ្យតម្លៃ
ថាជារបស់ល្អ ឬអាក្រក់
មូល​ភាព​នៃ​ការ​បង្កើត​ពាក្យ វ៉ាន់សាក់
កំហឹង​ធ្វើ​ឲ្យ​រលាក​ខ្លួន​ឯង បង្ការ​មិត្ត​អ្នក​ប្រមាទ​ហើយ
បង្ការ​ទ្រព្យ​សម្បត្តិ​របស់​មិត្ត​ប្រមាទ​ហើយ កាល​មាន​ធុរៈ​ជួយ​ចេញ​ទ្រព្យ​ឲ្យ​លើស​ជាង​ចេញ​វាចា
ហាម​មិន​ឲ្យ​ធ្វើ​សេចក្ដី​អាក្រក់ ណែនាំ​ឲ្យ​តាំង​នៅ​សេចក្ដី​ល្អ
ឲ្យ​បាន​ស្ដាប់​ធម៌​អ្វី​ដែល​នៅ​មិន​ធ្លាប់​ស្ដាប់ ប្រាប់​ផ្លូវ​ឋាន​សួគ៌
និយាយ​សេចក្ដី​កំបាំង​របស់​ខ្លួន​ប្រាប់​មិត្ត បិទ​សេចក្ដី​កំបាំង​របស់​មិត្ត​មិន​ឲ្យ​ខ្ចរខ្ចាយ
មិន​លះ​បង់​ចោល​ក្នុង​វេលា​មាន​វិបត្តិ ទោះបី​ដល់​ជីវិត​ក៏​អាច​លះ​បង់​ជួស​បាន
ឥការន្ត ឧការន្ត
ភាគច្រើនជាបុំលិង្គភេទប្រុស នបុំសកលិង្គភេទមិនប្រុស
មិនស្រី នាមដែលបំបែកក្នុងទំរង់
ទាំង​ពីរ​នេះខុសគ្នាតែ​​សព្វនាម និង​កម្មបទ
ចំណែក​ឯ​អាលបនៈដូចគ្នាទៅនឹង​សព្វនាម ឱវាទថា
ឲ្យដល់អ្នក ដែលគួរ
មិនឲ្យដល់អ្នក ដែលមិនគួរឲ្យ
គឺថាពេលមានញាតិមិត្តក្រកម្សត់មក សូមឲ្យជួយ
សូមពំនាក់អាស្រ័យ ពេលឲ្យទៅហើយ
គេសងក្តីមិនសងក្តីក៏គួរឲ្យ ឱវាទថា
ឲ្យចេះដេកជាសុខ គួរតែដេកក្រោយឪពុកក្មេកម្តាយក្មេក
ស្វាមី ឱវាទថា
ឲ្យចេះអង្គុយជាសុខ គឺថាឲ្យចេះអង្គុយក្នុងកម្រិតរវាងឪក្មេក
ម៉ែក្មេក ស្វាមី
ឱវាទថា ត្រូវចេះបម្រើភ្លើង
គឺថាត្រូវដឹងខ្លួនជានិច្ចថា ឪពុកក្មេកម្តាយក្មេក
ស្វាមីប្រៀបដូចជាភ្នក់ភ្លើង នាគរាជ
ដែលខ្លួនត្រូវបម្រើ វយកល្យាណ
វ័យល្អគឺស្រ្តីសូម្បីតែធ្លាប់សម្រាលកូន ដងហើយ
ក៏គង់សភាពនៅដូចស្រ្តីទើបតែ សម្រាលកូនម្តង
រស្មីពណ៌លឿង ជាតំណាងព្រះអង្គ
កាលទ្រង់សោយព្រះជាតិជាវិនីបណ្ឌិត កាលនោះព្រះ
ឥន្ទ្រាធិរាជបាននិម្មិតខ្លួនជាយក្សធ្វើ​ជា​ជាង​​មាស វិនីបណ្ឌិតបានអារសាច់ខ្លួនឱយជាងមាស
ដើម្បីផែធ្វើជាមាសបិទព្រះពុទ្ធរូប រស្មីពណ៌ក្រហម
ជាតំណាងព្រះអង្គ កាលទ្រង់សោយព្រះជាតិជាបទុមមាណព
គ្រានោះ មានពស់មួយប្រកបដោ​យពឹសដ៏ពន្លឹកចឹក​មាតាព្រះអង្គ
ព្រះអង្គទ្រង់យកកាំបិទមកពុះទ្រូង បេះដូងមកផ្សំថ្នាំមើលមាតាឱយបានគង់ជីវិត
រស្មីពណ៌ហង្សបាទ ស៊ីជម្ពូខ្ចីដូចជើងហង្ស
ជាតំណាងព្រះអង្គកាលទ្រង់សោយព្រះជាតិ វិជ្ឋាធរ
មាតាព្រះអង្គ ត្រូវយក្សចាប់​យកបាន
ព្រះ​អង្គ​ទ្រង់អារសាច់ឱ្យយក្សបរិភោគជំនួសជិវិតមាតា យើងតែងតែរកមើលកុមារ
យុវជនក្រីក្រពិតដូចជាក្មេងតាមផ្លូវ មជ្ឈមណ្ឌលកុមារកំព្រារ
កុមារត្រូវគេបោះបង់ចោល យុវជនមកពីជនបទ
និងមកពីគ្រួសារក្រីក្រមានជួយផងដែរនូវកុមារ យុវជនមានការរងគ្រោះពីសង្គមគឺដូចជា
កុមារត្រូវគេជួញដូរ ស្តី្រពេស្យា
គ្រឿងញៀននិងផ្សេងទៀត យើងធ្វើការរូមគ្នាដូចការអប់រំជាលក្ខណៈគ្រួសារដែលមាននាទីជាអ្នកមើលថែការអប់រំកុមារ
យុវជន នៅពេលនោះដែរ
ក្រុមនគរនៅភាគខាងត្បូងថៃភ្លាមៗបានធ្លាក់ នៅក្រោមឥទ្ធិពល
នៃនគរម៉ាឡេស្រីវិជ័យពីស៊ូម៉ាត្រា ជាលើកទីមួយហើយ
ដែលប្រជាជនតៃបានបង្កើតទំនាក់ទំនង ជាមួយអរិយធ៌មឥណ្ឌូបនីយកម្មនៅអាស៊ីអាគ្នេយ៍
តាមរយៈហរិបុញ្ជ័យ ពួកតៃនៅឆៀងសែនបានសម្របខ្លួនទៅនឹងពុទ្ធសាសនាថេរវាទ
និងរាជនាមសំស្ក្រឹត ធាតុនៃដយទង់បានសាងឡើងប្រហែលឆ្នាំគ
ក៏ប៉ុន្តែកាលបរិច្ឆេទត្រូវគេចាត់ទុកថាលឿនពេក សំរាប់ការស្ថាបនាហរិបុញ្ជ័យ
ពេលនោះជាមាទេវីមិនបាននាំធម្មចក្រមកភាគខាងជើងទេ ហរិបុញ្ជ័យប្រហែលជាពន្លកចុងក្រោយ
ប្រហែលសតវត្សទី នៃនគរល្វោ
រឺក៏ជំនួស ដោយជាប់ទាក់ទងនឹងនគរថាទង
ហ៊្វុនស៊ិនប៉ិចបានប្រយោជន៍ពីភក្ដីភាពខ្មែរកសិករជាប្រពៃណីទៅនឹងរាជបល្ល័ង្កនិងប្រជាប្រិយភាព​ដែលល្បីសុះសាយរបស់ព្រះសីហនុនៅជនបទ ព្រះអង្គបាននាំវប្បធម៌
អរិយធម៌ឥណ្ឌា មានសិល្បៈ
អក្សរសាស្ត្រ សាសនា
និងរបបគ្រប់គ្រងរដ្ឋមកនគរវ្នំ ដល់​​ជា​ប្រាកដ
ព្រះ​បាទ​សម្ដេច​ព្រះ​ចមក្លៅ​បាន​ឲ្យ​ចារិក​ទុក​នៅ​ព្រះ​បថម​ចេតីយ៍​ថា​ មឿង​នេះ​ជា​មឿង​ដែល​បាន​ទទួល​ព្រះ​ពុទ្ធ​សាសនា​មក​ប្រតិស្ឋាន​
តាំង​អំពី​សម័យ​ព្រះ​បាទ​ធម្មាសោក​ រាជ​បញ្ជូន​ព្រះ​ថេរ​មក​ប្រកាស​ដូច្នេះ
វៀតណាមខាងត្បូងបានពឹងផ្អែកលើឧត្តមភាពអាកាស កម្លាំងបាញ់ប្រហារលើសលប់ដើម្បីធ្វើប្រតិបត្តិការស្វែងរកនិងកម្ទេច
ដែលពាក់ព័ន្ធនឹងកងកម្លាំងលើដី កងកាំភ្លើងធំ
និងការវាយប្រហារអាកាស នេះ​គឺ​ជា​អ្វី​ដែល​ព្រះបាទ
សុរិយវរ្ម័ន​ទី​ លោក​បាន​ធ្វើ​សម្រាប់​ប្រាសាទ​ភ្នំ​ព្រះវិហារ
ខ្ញុំជិះនាវាត្រលប់មកវិញ ហើយដល់ថ្ងៃ
ទើបនាវាចូលចត ដល់កំពង់ផែស្រុកស៊ីម៉េង
ក៏ដោយ រដ្ឋការថាច់ឆឺរនិងរីហ្គែនទាំងពីរបានគាំទ្រពួកកុបករដោយសម្ងាត់
ជាមួយសព្វាវុធ និងទីប្រឹក្សាយោធាក្នុងការបង្កើតអង្គភាពកន្តឹបបៃតងនិងសេវាអាកាសពិសេស
ដែលគ្រាន់បានបង្រៀនបច្ចេកទេសអនត្ថការក្នុងជំរុំក្នុងប្រទេសថៃតែប៉ុណ្ណោះ ទ្រទូង
នារី​រ័ត្ន ស្ត្រី​កែវ​ឬ​ស្រី​ថ្លៃ
ស្ត្រី​មាន​លំអ​ប្រហែល​ដូច​ពេជ្រ បរិ​នាយក​រ័តន៍
សម្រាប់​ស្ដេច​ចក្រ​ពត្តិ ​ប្រុស​រ័ត្ន
ប្រុស​កែវ ឬ​ប្រុស​ថ្លៃ
រវាងឆ្នាំ វាបានចាប់ផ្ដើមអោយមានគំនិតទីពីរអំពីការបែកបាក់ជាមួយវ៉ាស៊ីងតោន
ដោយគ្មានប្រយោជន៍អំពីគ្រឿងបរិក្ខារអាមេរិក និងផ្នែកទំនេរនានាក៏ត្រូវបានរុះរើចេញដោយសារគុណភាពអន់
ហើយក៏ជំនួសតិចតួចដោយរបស់សូវៀត និងបារាំងវិញ
ជិនបានកម្ទេចរដ្ឋឆោ ហើយបានជួយសង្គ្រោះរដ្ឋស៊ុងនិងចាប់អ្នកឧកញ៉ាឆោគង់ដាក់ជាអ្នកទោស
បន្ទាប់ពីការកម្ចាត់រដ្ឋឈូក ឆោបានបន្តតាមលំដាប់នៃអ្នកជិតខាងដែលជិត
រដ្ឋជិន ចតុប្បារិសុទ្ធិ​សីល
ចតុប្បច្ច័យ ដល់ប៉ុន្តែសករាជដែលប្រើគឺជា
មហាសករាជ សេចក្ដីក្នុងសិលាចារឹកនោះនិយាយពីរឿងធ្វើបុណ្យផ្សេងៗ
គឺប្រោសខ្ញុំអោយរួចជាអ្នកជា បំបួសមនុស្ស
លាបំណន់ សាងព្រះ
សាងពិតាន និងថ្វាយរបស់ជាពុទ្ធបូជា
ជារបស់ស្ដេចខ្លះ មន្ត្រីខ្លះ
រាស្ត្រខ្លះ ជាការនាំទៅដល់សម័យមួយនៃពួកស្ដេចត្រាញ់
ជាលទ្ធផលនៃការជ្រួលច្របល់ រដ្ឋបីបានព្យាយាមទាញយកផលប្រយោជន៍យ៉ាងច្រើនលើលលប់
នៅក្នុងសម័យនគរបី សម័យកាលនេះត្រូវបានគេនិពន្ធជាប្រលោមលោកដ៏អស្ចារ្យ
ក្នុងស្នាដៃជាច្រើនដូចជារឿងប្រលោមលោកនៃនគរទាំងបី សង្គ្រាមដ៏ធំដែលប្រយុទ្ធតទល់គ្នារវាងឆៀងសែន
និងហរិបុញ្ជ័យបានផ្ទុះឡើង កងទ័ពមនបានកាន់កាប់ឆៀងសែន
ហើយស្ដេចឆៀងសែនបានភៀសព្រះកាយបាត់ ក្នុងឆ្នាំ
មហាព្រះអង្គម្ចាស់ព្រំបានដណ្ដើមឆៀងសែន បានវិញពីពួកមន
