ວິທີການລ້ຽງລູກແບບຜິດໆ ທີ່ພໍ່ແມ່ຄວນຮູ້
ແມ່ນຄູ່ມືທີ່ເພີ່ນແປອອກມາຈາກຄູ່ມືນຳໃຊ້ທີ່ເປັນພາສາອັງກິດ ເປັນພາສາໄທ
ວ່າຈະເອົາມາແປງເປັນພາສາລາວ ບໍ່ໄຫວຕັ້ງວ່າ
ກວ່າໜ້າ ແກ້ຂັດໄປກ່ອນເນາະສຳຫຼັບແຟນ
ສາມາດໄປດາວໂຫລດໄດ້ທີ່ ຫຼັກການຖ່າຍຮູບ
ກົດເກນສາມສ່ວນ ກົດເກນສາມສ່ວນ
ເພື່ອເປັນພື້ນຖານຂອງການຮຽນຮູ້ເທັກນິກການຖ່າຍຮູບໃນເບື້ອງຕົ້ນໃຫ້ແກ່ມື້ໃໝ່ທັງໝາຍ ລວມທັງຂ້າພະເຈົ້ານຳ
ສະນັ້ນ ທຸກທ່ານສາມາດດາວໂລດໄປລອງອ່ານເບີ່ງໄດ້ທີ່
ພະທາດຫຼວງ ບໍລິເວນອ້ອມຂ້າງ
ໜ້າຕາເວັບໄຊຊື່ ອອກແບບໂດຍ
ສັນສ້າງຜົນງານດ້ວຍແສງ ແຈ້ງການ
ໜ່ວຍງານ ບໍລິມາດນໍ້າໃຊ້
ເດືອນ ວິໃສທັດ
ພາລະກິດ ນາມສະກຸນ
ໂທລະສັບມືຖື ມື້ວານນີ້
ໃນວັນທີ ທີ່ໂຮງແຮມ
ວຽງຈັນພຣາຊາ ໄດ້ມີພິທີ
ເຊັນສັນຍາ ຮັບເໝົາລົງທຶນກ່ອນ
ກໍ່ສ້າງອາຄານຫ້ອງການ ຄຸ້ມຄອງທັນສະໄໝ
ຂອງລັດວິສາຫະກິດ ນໍ້າປະປາ
ນະຄອນຫລວງ ລະຫວ່າາງ
ລັດວິສາຫະກິດ ນໍ້າປະປາ
ນະຄອນຫລວງ ບໍລິສັດ
ຄຳໄພຊະນະ ເຊິ່ງເປັນຜູ້ຮັບເໝົາ
ໃນວັນທີ ລັດວິສາຫະກິດ
ນໍ້າປະປານະຄອນຫລວງວຽງຈັນ ຮ່ວມກັບອົງການ
ຈັດກິດຈະກຳເຜີຍແຜ່ການປະຊາສຳພັນວຽກງານນໍ້າປະປາ ຢູ່ທີ່ໂຮງຮຽນໜອງບອນ
ໂຮງຮຽນສິນໄຊ ກອງປະຊຸມປະຈຳເດືອນ
ຂອງໂຄງການwamasujica ພິທີເຊັນບົດບັນທຶກຄວາມເຂົ້າໃຈ
ການຈັດຕັ້ງປະຕິບັດແຜນວຽກ ລະຫວ່າງ
ລັດວິສາຫະກິດ ນໍ້າປະປາ
ນະຄອນຫລວງ ບໍລິສັດ
ບີວາເຊ ຫວຽດນາມ
ງານໂຮມຊຸມນຸມຈັດຕັ້ງປາຖະກະຖາລະນຶກວັນຢຶດອຳນາດ ວັນລັດຖະທໍາມະນູນແຫ່ງ
ສປປລາວ ຊົມເຊີຍການແຂ່ງຂັນກິລາບານສົ່ງຫາດຊາຍ
ຍິງຊາຍ ເພື່ອຂັດເລືອກນັກກິລາເຂົ້າຮ່ວມງານມະຫາກຳກິລາແຫ່ງຊາດ
ຊົມເຊີຍການແຂ່ງຂັນກິລາບານສົ່ງຫາດຊາຍ ຍິງຊາຍ
ເພື່ອຂັດເລືອກນັກກິລາເຂົ້າຮ່ວມງານມະຫາກຳກິລາແຫ່ງຊາດ ແຂວງອຸດົມໄຊ
ທ້າຍປີ ເຊິ່ງໄດ້ຈັດຂື້ນ
ໃນວັນທີ ສິງຫາ
ສູນຝຶກກິລາບຶງຂະຫຍອງ ມອບຮັບເຄື່ອງກວດນໍ້າແຕກນໍ້ຳຮົ່ວ
ໃນຕອນເຊົ້າຂອງວັນທີ ສິງຫາ
ໄດ້ຈັດກອງປະຊຸມປະຈຳອາທິດ ມອບຮັບເຄື່ອງກວດນໍ້າແຕກນໍ້ຳຮົ່ວ
ໂຄງການ ຫ້ອງປະຊຸມຊັ້ນ
ລັດວິສາຫະກິດ ນໍ້າປະປາ
ນະຄອນຫລວງ ຕ້ອນຮັບ
ການປະປານະຄອນຫລວງປະເທດໄທ ລັດວິສາຫະກິດ
ນ້ຳປະປາ ນະຄອນຫລວງ
ຕ້ອນຮັບ ການປະປານະຄອນຫລວງປະເທດໄທ
ທີ່ໄດ້ມາຢ້ຽມຢາມ ໃນວັນທີ
ກໍລະກົດ ສະຫງວນລິຂະສິດ
ລັດວິສາຫາກິດ ນໍ້າປະປານະຄອນຫຼວງ
ໂຊລູຊັ່ນຂອງທ່ານບໍ່ແມ່ນຈິງໆ ຍືນຍົງ
ເປັນຫຍັງ ການລວບລວມແກ້ໄຂໃນປັດຈຸບັນທີ່ແທ້ຈິງເພື່ອແກ້ໄຂ
ປິ່ນປົວແລະປັບປຸງໂລກ ຂອງພວກເຮົາ
ເຈົ້າ​ຢູ່​ທີ່​ນີ້ ຫນ້າທໍາອິດ
ຄໍາເວົ້າຈາກບັນນາທິການ ບັນນາທິການ
ໂຊລູຊັ່ນຂອງທ່ານບໍ່ແມ່ນຈິງໆ ຍືນຍົງ
ເປັນຫຍັງ ແດງຄວາມຄິດເຫັນ
ເພື່ອສະແດງໃຫ້ເຫັນວ່າຈຸດນີ້ ໃຫ້ພວກເຮົາເບິ່ງຮ່ວມກັນເຫຼົ່ານີ້
ແກ້ໄຂກົງກັນຂ້າມຫມົດ ເຕັກນິກນີ້ແມ່ນ
ທີ່ເປັນມິດກັບສິ່ງແວດລ້ອມ ມັນມາຈາກອາຟຣິກາແລະມັນເປັນວິທີການທີ່ເກົ່າແກ່ທີ່ສຸດເຊິ່ງໃຊ້ເວລາດົນນານກ່ອນທີ່ຈະຟື້ນຟູດິນທີ່ເປົ່າ
ໂດຍບໍ່ມີການໃຫ້ທ່ານມີລາຍລະອຽດຫຼາຍເກີນໄປ ໃຫ້ເວົ້າວ່າວິທີການນີ້ໃຊ້ຫຼາຍແຮງງານຂອງມື
ລົດໄຖນາທາງເລືອກ ທ່ານຈໍາເປັນຕ້ອງຂຸດຂຸມຂີ້ເຫຍື້ອແລະຕື່ມຂໍ້ມູນໃສ່ວັດສະດຸອິນຊີ
ບໍ່ມີສານເຄມີຫຍັງເລີຍ ແມ່ນແລ້ວ
ທ່ານຈະຕ້ອງການຄວາມອົດທົນເພາະວ່າທໍາມະຊາດມີ ຂອງຕົນເອງ
ແລະແມ່ນແລ້ວ ການແກ້ໄຂນີ້ເພື່ອຟື້ນຟູດິນແຫ້ງແມ່ນມີຄວາມຍືນຍົງຍ້ອນມັນສາມາດເປັນໄດ້
ການແກ້ໄຂທີ່ດີເລີດຢູ່ໃນໂລກທີ່ບໍ່ສົມບູນແບບ ພວກເຮົາທັງຫມົດແມ່ນຢູ່ໃນເຮືອດຽວກັນ
ຍື່ນພາຍໃຕ້ ບັນນາທິການ
ອອກຈາກ ຍົກເລີກການຕອບ
ທີ່ຢູ່ອີເມວຂອງທ່ານຈະບໍ່ໄດ້ຮັບການຈັດພີມມາ ລິຂະສິດ©
ເງື່ອນໄຂຂອງການບໍລິການ ນະໂຍບາຍຄວາມເປັນສ່ວນຕົວ
ການຕິດຕໍ່ ເບິ່ງສະຖິຕິຂອງຂ້ອຍ
ເຂົ້າ​ສູ່​ລະ​ບົບ ເນື້ອຫາຂອງຜູ້ທີ່ມີບ່ອນວາງສະແດງສໍາລັບການເຊື່ອມຕໍ່ແບບເປີດເຜີຍ
ການຄຸ້ມຄອງດາວໂຫລດທີ່ດີທີ່ສຸດ ລາຍງານ
ໃຊ້ໃນບັນດາຊາວອາເມຣິກັນອາຍຸປະມານ ປີເປັນ
ອີງຕາມການ ການຍອມຮັບທົ່ວໄປຂອງສະຖານທີ່ສື່ມວນຊົນສັງຄົມແມ່ນເກືອບເທົ່າທຽມກັນສໍາລັບບັນດາຜູ້ໃຊ້ອິນເຕີເນັດອາເມລິກາ
ແລະຜູ້ໃຊ້ອິນເຕີເນັດຂາວ ແຕ່ຊາວອາຟຣິກາອາເມລິກາມີອັດຕາການໃຊ້
ສູງກວ່າຄົນຂາວ ພົບວ່າ
ຂອງຜູ້ໃຊ້ອິນເຕີເນັດທັງຫມົດໃນອາຟຣິກາອາເມລິກາແມ່ນຢູ່ໃນ ໃນຂະນະທີ່ມີພຽງ
ຂອງຜູ້ຊົມໃຊ້ ທັງຫມົດ
ຊ່ອງຫວ່າງລະຫວ່າງຊາວອາຟຣິກາອາເມລິກາແລະສີຂາວໃນ ສອງເທົ່າເມື່ອທຽບກັບການນໍາໃຊ້ຂີ້ເຫຍື້ອໃນກຸ່ມ
ສໍາລັບທຸກຄົນທີ່ມີອາຍຸ ປີຂຶ້ນໄປ
ການນໍາໃຊ້ ໃນລະດັບສອງກຸ່ມຈະມີອັດຕາສ່ວນດຽວກັບຜູ້ໃຊ້
ການຄົ້ນຄວ້າຂອງ ສໍາລັບການນໍາໃຊ້ອາເມລິກາແລະເຕັກໂນໂລຢີຂອງຕົນແມ່ນອີງໃສ່ການສໍາຫຼວດທາງໂທລະສັບຂອງຜູ້ໃຫຍ່ອາເມລິກາ
ແລະໄດ້ດໍາເນີນການໃນວັນທີ ກໍລະກົດຫາວັນທີ
ເດືອນກັນຍາປີກາຍນີ້ ມັນເປັນມູນຄ່າທີ່ສັງເກດເຫັນວ່າຈໍານວນຜູ້ເຂົ້າຮ່ວມທັງຫມົດ
ເວົ້າວ່າມີພຽງ ຜູ້ຕອບສະຫນອງຕົວເອງວ່າເປັນຄົນອາເມລິກາສີດໍາຫລືອາເມລິກາ
ເປັນຜູ້ລາຍງານການມອບຫມາຍທົ່ວໄປຂອງສື່ມວນຊົນປະຕູທີສາມເຊິ່ງກວມເອົາຂ່າວແລະການປັບປຸງຫຼ້າສຸດສໍາລັບ ຕັ້ງແຕ່ປີ
ນາງໄດ້ເປັນຜູ້ຈັດພິມລາຍການທີ່ໄດ້ຮັບຮາງວັນສໍາລັບຫນັງສືພິມປະຈໍາວັນຈາກນິວຢອກໄປຍັງເທັກຊັດ ມີຫຼາຍກວ່າສິບປີຂອງການຄຸ້ມຄອງການຕະຫຼາດການຕະຫຼາດ
ນາງໄດ້ປະກອບສ່ວນເຂົ້າໃນການພິມຕ່າງໆຕາມປະເພນີແລະອອນໄລນ໌ ລວມທັງ
ແລະວາລະສານການຂາຍແລະການຕະຫຼາດ ອ່ານເພີ່ມເຕີມກ່ຽວກັບບົດຄວາມຂອງ
ພວກເຮົາບໍ່ສາມາດເວົ້າວ່າ ແມ່ນຂຶ້ນຍ້ອນການປ່ຽນແປງຂອງຂ່າວສານ
ແມ່ຍິງເດັກນ້ອຍ ພາສາລາວ
ປະຈຳວັນ ເສຖກິຈ
ງານສະແດງຊ້າງເນື່ອງໃນວັນຊ້າງໂລກ ພາຍຫລັງທາງການຈີນ
ໄດ້ປະກາດຫ້າມບໍ່ໃຫ້ ມີການຄ້າຂາຍງາຊ້າງ
ຕິດຕໍ່ກັນມາຫລາຍຄັ້ງ ໃນປີທີ່ຜ່ານມາ
ແລະປິດໂຮງງານ ຜລິຕພັນ
ງາຊ້າງ ໃນປະເທສຈີນ
ແຫ່ງຕັ້ງແຕ່ເດືອນມິນາ ປີກາຍມາ
ແລະຄາດວ່າກິຈການ ກ່ຽວກັບການຄ້າຂາຍງາຊ້າງ
ທີ່ຍັງເຫລືອຢູ່ ແຫ່ງຈະຕ້ອງຖືກປິດລົງ
ໃນມື້ວັນທີ ທັນວາ
ຕາມທີ່ທາງການຈີນ ໄດ້ໃຫ້ຄຳໝັ້ນສັນຍາ
ວ່າຈະປິດຕລາດງາຊ້າງ ທີ່ຖືກກົດໝາຍ
ທັງໝົດ ທັງໂຮງງານຜລິຕພັນງາຊ້າງ
ແລະຮ້ານຄ້າງາຊ້າງ ໃນທົ່ວປະເທສ
ຈີນປະກາດປິດຕລາດງາຊ້າງໃຫຍ່ທີ່ສຸດໃນໂລກ ຢູ່ປະເທສຂອງຕົນ
ທີ່ວ່ານັ້ນມີຂຶ້ນພາຍຫລັງທີ່ຈີນ ໄດ້ຕົກລົງກັບ
ທາງການລາວ ສ້າງອັນທີ່
ເອີ້ນວ່າ ສວນອຸທິຍານ
ຫລືສູນອານຸຮັກ ພັນຊ້າງ
ຢູ່ແຂວງໄຊຍະບູລີ ຂອງລາວ
ບໍ່ເຖິງປີ ໃນຂະນະທີ່ກອງທຶນ
ສັດປ່າໂລກຮຽກຮ້ອງ ທາງການຍີ່ປຸ່ນ
ວຽດນາມ ແລະພະມ້າ
ປິດຕລາດງາຊ້າງ ທີ່ຖືກກົດໝາຍ
ຢູ່ປະເທສຂອງຕົນ ໃນທັນທີ
ຍ້ອນວ່າຊ້າງປ່າ ຂ້າຕາຍໃນແຕ່ລະມື້
ເປັນຈໍານວນຫຼວງຫລາຍ ຕາມຂໍ້ມູນຂອງກອງທຶນສັດປ່າໂລກ
ຊ້າງປ່າຖືກພວກລ່າສັດຂ້າ ເພື່ອເອົາງາຂາຍໃຫ້ຈີນ
ແລະປະເທສເພື່ອນບ້ານຂອງຈີນ ສເລັ່ຍມື້ນຶ່ງ
ດຣເຟຣດ ຄວາເມ່
ຄູມ່າຣ໌ ຜູ້ອໍານວຍການອົງການກອງທຶນ
ສັດປ່າໂລກ ປະຈໍາ
ອາຟຣິກາ ກ່າວໃນວັນທີ
ທັນວາ ວັນທີ
ທັນວາ ເປັນມື້ທີ່ຈີນສັນຍາວ່າຈະປິດຕລາດການຄ້າງາຊ້າງ
ທີ່ຖືກກົດໝາຍ ທັງໝົດບໍ່ວ່າຈະເປັນໂຮງງານ
ແລະຮ້ານຄ້າງາຊ້າງ ທີ່ໄດ້ຮັບອະນຸຍາດ
ໃຫ້ຄ້າງາຊ້າງຢ່າງຖືກ ຕ້ອງຕາມກົດໝາຍ
ແລະທັງວ່າຕ້ອງຍຸຕິ ການຄ້າຂາຍງາຊ້າງ
ແລະສິນຄ້າ ທີ່ຜລິດຈາກງາຊ້າງທັງໝົດໃນທົ່ວປະເທດຈີນ
ການສັ່ງປິດຕລາດງາຊ້າງຂອງຈີນ ເປັນມາຕການທີ່ຈະແຈ້ງກວ່າມາຕການໃນປະເທສອື່ນໆ
ແລະຈະເຮັດໃຫ້ການລ່າຊ້າງ ເພື່ອເອົາງາ
ການລັກລອບ ຊຶ້ຂາຍ
ງາຊ້າງຫລຸດລົງ ແລະຈະເຮັດໃຫ້ຊ້າງ
ແອຟຮິກາ ມີຊີວິດຢູ່ລອດໄດ້
ສໍາລັບຢູ່ລາວ ປັດຈຸບັນ
ຍັງມີຊ້າງທັງໝົດ ປະມານ
ໃນນັ້ນເຄີ່ງນຶ່ງເປັນຊ້າງບ້ານ ສະເພາະຢູ່ແຂວງໄຊຍະບຸຣີ
ຕາມຄໍາເວົ້າຂອງຊາວບ້ານ ແລ້ວແມ່ນວ່າ
ມີຊ້າງບ້ານ ປາຍໂຕ
ແລະຊ້າງປ່າ ປາຍໂຕ
ແລະອີກໂຄງການນຶ່ງ ແມ່ນໂຄງການຮ່ວມປົກປ້ອງຊີວະນາໆພັນ
ຂ້າມຊາຍແດນຈີນລາວ ແລະໄດ້ສໍາຣວດຮ່ວມກັນເປັນຄັງທີ
ນັບຕັ້ງແຕ່ ໄດ້ຕັ້ງຂຶ້ນມາເມື່ອປີ
ໄດ້ຊ່ວຍໃຫ້ຮູ້ກ່ຽວກັບ ຂອບເຂດທີ່ຢູ່ອາໃສ
ແລະຈໍານວນຊ້າງພັນເອເຊັຍໃນ ຂອງແຂວງຫຼວງນໍ້າທາ
ນອກຈາກຈີນ ແລະຍີ່ປຸ່ນແລ້ວ
ປະເທສຕ່າງໆໃນແຖບເອເຊັຍຕາເວັນອອກສ່ຽງໃຕ້ ກໍເປັນເປົ້າໝາຍຂອງ
ອົງການອະນຸລັກສັດປ່າ ສາກົນ
ທີ່ຮຽກຮ້ອງ ໃຫ້ປິດຕລາດງາຊ້າງເຊັ່ນກັນ
ເພາະການປິດຕລາດງາຊ້າງຢູ່ຈີນ ເປັນບາດກ້າວໃຫຍ່
ທີ່ສຳຄັນ ໃນການ
ອະນຸຮັກ ຊ້າງເອົາໄວ້
ແຕ່ມັນອາຈເປັນ ຫົນທາງທີ່ເຮັດໃຫ້ທິດທາງຂອງ
ຕລາດງາຊ້າງ ຫັນເຫໄປປະເທສເພື່ອນບ້ານ
ຕ່າງໆຂອງຈີນ ໂດຍສະເພາະ
ຢ່າງຍິ່ງແມ່ນ ສປປລາວໄທ
ພະມ້າ ວຽດນາມ
ແລະກຳພູຊາ ຊຶ່ງເປັນປະເທສ
ທີ່ນັກທ່ອງທ່ຽວ ໄປທ່ຽວ
ແລະນິຍົມກັນຊື້ ຜລິຕພັນງາຊ້າງ
ຜລິຕພັນຈາກສັດປ່າອື່ນໆ ດຣເຟຣດ
ຄວາເມ່ ຄູມ່າຣ໌
ກ່າວວ່າ ປະເທສຈີນ
ສະແດງໃຫ້ເຫັນເຖິງການເປັນຜູ້ຍິ່ງໃຫຍ່ ຕໍ່ວິກິດການອັນຮີບດ່ວນນີ້
ແລະທັງຫວັງວ່າ ຈີນຈະຮ່ວມມື
ກັບອົງການ ຂອງທ່ານ
ໃນການຮຽກຮ້ອງ ໃຫ້ປະເທດເພື່ອນບ້ານ
ໂດຍສະເພາະ ຢ່າງຍິ່ງກໍແມ່ນ
ສປປລາວ ພະມ້າ
ແລະວຽດນາມ ແລະກໍາພູຊາ
ຊຶ່ງເປັນ ປະເທສ
ທີ່ນັກທ່ອງທ່ຽວຈີນໄປທ່ຽວຫລາຍ ແລະນິຍົມກັນຊື້ຜລິຕພັນງາຊ້າງ
ແລະຜລິຕພັນຈາກສັດປ່າອື່ນໆ ເວົ້າເຖິງຊ້າງ
ຊຶ່ງຄັ້ງນຶ່ງລາວເຄີຍຮູ້ກັນວ່າເປັນ ດິນແດນລ້ານຊ້າງ
ທີ່ມີຊ້າງຢູ່ຫລາຍ ແຕ່ມາບັດນີ້ຫລຸດລົງຢ່າງໜ້າເປັນຫ່ວງ
ຂະນະທີ່ມີ ຣາຍງານວ່າ
ຖືກຂາຍໄປຈີນຫລາຍ ທັງທີ່ຖືກຕ້ອງຕາມຣະບຽບກົດໝາຍ
ແລະຜິດກົດໝາຍ ແລະຖືກສົ່ງໄປ
ປະເທສ ອື່ນຕື່ມອີກ
ຕົກລົງໃຫ້ຂໍ້ມູນເຂື່ອນ ຂອງຕົນ
ບໍຣິສັດຖ່ານຫີນ ຂຫົວພັນ
ຍອມຈ່າຍ ຄ່າເສັຽຫາຍ
ທາງການເຕືອນກຸ່ມຄ້າງາຊ້າງ ສັດປ່າ
ຈະຫາຣື ສະກັດກັ້ນ
ການຄ້າ ສັດປ່າ
ຮັບເອົາຄໍາສເນີ ຄ່າຊົດເຊີຍ
ທາງຣົດໄຟ ແມ່ຍິງລາວຫຼົບໜີຜົວຈີນ
ກັບມາ ອາຈເຂົ້າເປົ້າສິ້ງຊອມ
ຂອງອົງການ ສາກົນ
ເສັຽຊີວິດ ຖືກຂ້າຢູ່
ມພູວົງ ຂອັດຕະປື
ວັນໂລກ ວັນຮັກສາ
ຕິດຕໍ່ພວກເຮົາ radioຜັງລາຍການfm
ຜັງລາຍການ ປະຈຳປີ
ອອກອາກາດ ທຸກວັນ
ຈັນອາທິດ ທາງຄືນ
ຜະລິດລາຍການໂດຍbutterfly ຜັງລາຍການ
ລາຍການ ວັນຈັນ
ວັນອາທິດ ຜູ້ຈັດ
ຖະໜົນໄຜ່ໜາມຕູ້ໄປສະນີ ນະຄອນຫຼວງວຽງຈັນ
ກອງປະຊຸມຄັ້ງທໍາອິດ ຂອງບັນດາຈຸດປະສານງານເພື່ອການຈັດຕັ້ງປະຕິບັດເປົ້າໝາຍການພັດທະນາ
ແບບຍືນຍົງ ຜູ້ເຂົ້າຮ່ວມທັງໝົດໄດ້ມີການສົນທະນາປຶກສາຫາລື
ປະກອບຄໍາຄິດເຫັນຢ່າງກົງໄປກົງມາ ກ່ຽວກັບ
ການປັບປຸງກົນໄກການປະສານງານ ການຈັດຕັ້ງປະຕິບັດເປົ້າໝາຍການພັດທະນາແບບຍືນຍົງ
ໃນແຕ່ລະຂະແໜງການ ພ້ອມທັງໃຫ້ມີຄວາມສອດຄ່ອງກັບແຜນພັດທະນາເສດຖະກິດສັງຄົມ
ແຫ່ງຊາດ ຄັ້ງທີ
ຍຸດທະສາດການພັດທະນາ ວິໄສທັດປີ
ສ່ອງຊຸດໄໝລາວເລີດໆ quotແອນນິຕ້າquot
ອັບເດດແຟຊັ່ນກ່ອນເຂົ້າພັນສາ ໜ້າທໍາອິດມ່ວນ
ຂ່າວບັນເທີງ ສ່ອງຊຸດໄໝລາວເລີດໆ
ແອນນິຕ້າ ອັບເດດແຟຊັ່ນກ່ອນເຂົ້າພັນສາ
ສ່ອງຊຸດໄໝລາວເລີດໆ ແອນນິຕ້າ
ອັບເດດແຟຊັ່ນກ່ອນເຂົ້າພັນສາ ອີກພຽງເດືອນດຽວກໍຈະເຂົ້າສູ່ຊ່ວງບຸນເຂົ້າພັນສາແລ້ວ
ເຊິ່ງຕາມປະເພນີມາດົນນານໃນຊ່ວງໄລຍະເຂົ້າພັນສາກໍຈະໄດ້ພັກເລື່ອງງານແຕ່ງງານໄວ້ກ່ອນຈົນກວ່າຈະອອກພັນສາ ຈຶ່ງຈະສາມາດຈັດງານແຕ່ງດອງໄດ້ຕາມຮີດຄອງທີ່ເພິ່ນໄດ້ປະຕິບັດກັນມາແຕ່ບູຮານ
ແຕ່ກ່ອນຈະຮອດບຸນເຂົ້າພັນສາຊ່ວງນີ້ກໍຍັງມີບັດເຊີນງານແຕ່ງມາຢູ່ເລື້ອຍໆ ແນ່ນອນວ່າສາວໆຫລາຍຄົນກໍຄົງຈະຕ້ອງມີການກຽມທັງເລື່ອງເສື້ອຜ້າໜ້າຜົມເພື່ອອອກງານແນ່ນອນ
ມື້ນີ້ມ່ວນຈະພາທຸກຄົນໄປອັບເດດແບບເສື້ອໄໝງາມໆຕາມແບບສະບັບຂອງນັກຮ້ອງສາວລາວຢ່າງ ແອນນິຕ້າ
ທິວາພອນ ເຊິ່ງສາວແອນນນິຕ້າເອງເປັນຄົນດັງທີ່ມັກຈະອອກງານຢູ່ເລື້ອຍໆ
ແຕ່ລະຊຸດຂອງເພິ່ນນັນເປະປັງງາມເລີດແທ້ໆ ສໍາລັບສາວໆຄົນໃດທີ່ຍັງຄິດບໍ່ອອກວ່າຈະຕັດເສື້ອໄໝແບບໃດໄປງານມາສ່ອງໄປພ້ອມກັນເລີຍ
ກົມໂຄສະນາເຜີຍແຜ່ກົດໝາຍ ໄດ້ລົງເຄື່ອນໄຫວໂຄສະນາເຜີຍແຜ່ກົດໝາຍໃຫ້ແກ່ປະຊາຊ
​ໃນ​ລະຫວ່າງວັນ​ທີ ກົມ​ໂຄສະນາ​ເຜີຍແຜ່​ກົດໝາຍ
ກະຊວງ​ ອ່ານຕໍ່
ພະແນກຍຸຕິທໍາ ແຂວງບໍລິຄໍາໄຊ
ຮັບໃບຢັ້ງຢືນເປັນໜ່ວຍພັກເຂັ້ມແຂງຮູ້ນຳພາຮອບດ ພະແນກຍຸຕິທໍາແຂວງ
ບໍລິຄໍາໄຊ ຈັດພິທີມອບຮັບ
ອ່ານຕໍ່ ກອງປະຊຸມໃຫຍ່
ຄັ້ງທີ ຂອງໜ່ວຍສະຫະພັນແມ່ຍິງພະແນກຍຸຕິທຳແຂວງຫົວພັນ
ກອງປະຊຸມໃຫຍ່ຄັ້ງທີ ຂອງໜ່ວຍສະຫະພັນແມ່ຍິງພະແນກຍຸຕິທຳແຂວງ
ຫົວພັນ ອ່ານຕໍ່
ກອງປະຊຸມທາບທາມ ຮ່າງດຳລັດວ່າດ້ວຍການຊ່ວຍເຫຼືອລ້າທາງດ້ານກົດໝາຍ
ດຳລັດວ ແຂວງສະຫວັນນະເຂດ
ໄດ້ຈັດຕັ້ງການຮຽນການສອນກົດໝາຍຊັ້ນຕົ້ນ ເລີ່ມແຕ່ຕົ້ນເດືອນ
ອ່ານຕໍ່ ກອງ​ປະຊຸມ​ເປີດ​ກວ້າງ​ຂອງ​ຄະນະ​ບໍລິຫານ​ງານ​ພັກ​ກະຊວງ​ຍຸຕິ​ທຳ
ອ່ານຕໍ່ ​ເນື່ອງ​ໃນ​​ໂອກາດວັນສ້າງ​ຕັ້ງ​ກຳລັງ​ປ້ອງ​ກັນ​ຄວາມ​ສະ​ຫົງ​ບ
ຄົບຮອບ ອ່ານຕໍ່
ໂດຍປະຕິບັດຕາມມະຕິຂອງກອງປະຊຸມໃຫຍ່ທະນາຍຄວາມທົ່ວປະເທດ ປະຈຳປີ
ອ່ານຕໍ່ ຫນ້າທໍາອິດ
ສີນ້ໍາຕານ ຈໍານວນສິນຄ້າ
ຊ້ໍາຂະຫນາດກາງ ສີນ້ໍາຕານ
ຫມວດຫມູ່ ຄໍາສັບຕ່າງໆທີ່ສໍາຄັນ
ແບ່ງປັນ ສີຂີ້ເຖົ່າ
ໃນເຟສບຸກ ແບ່ງປັນ
ສີຂີ້ເຖົ່າ ຫນາມີ
ສໍາລັບທຸກຄົນ ຂະຫນາດຫົວ
ລະ​ດັບ​ຄວາມ​ສູງ​ຂອງ​ກໍາ​ແພງ​ໃນ​ເບື້ອງ​ຊ້າຍ ລັດຖະບານ
ໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກ ກວ່າໂຄງການ
ລາວໂພສຕ໌ ໜ້າທຳອິດ
ຂ່າວທ້ອງຖິ່ນ ລັດຖະບານ
ໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກ ກວ່າໂຄງການ
ລັດຖະບານ ໄດ້ຮັບການຊ່ວຍເຫຼືອຈາກ
ກວ່າໂຄງການ ກອງ​ປະຊຸມ​ທົບ​ທວນຄືນ​ການຮ່ວມ​ມື​ລະຫວ່າງລັດຖະບານ
ອົງ​ການຈັດຕັ້ງ​ສາກົນ​ທີ່​ບໍ່ສັງກັດ​ລັດຖະບານ ກຸມພາ
ຢູ່​ຫໍ​ປະຊຸມ​ແຫ່ງຊາດ ນະຄອນຫຼວງ​ວຽງ​ຈັນ
ເປັນປະທານ​ຂອງ​ທ່ານ ສະເຫຼີມ​ໄຊ
ລັດຖະມົນຕີ​ກະຊວງການ​ຕ່າງປະເທດ ມີ​ຄະນະ​ຜູ້ແທນ​ຂັ້ນ​ສູງ​ຈາກ​ຂະແໜງການ
ທ້ອງຖິ່ນ ອົງ​ການຈັດຕັ້ງ​ສາກົນ
ສະມາຄົມ ມູນ​ນິທິ​ເຂົ້າຮ່ວມ
ເຊິ່ງ​ກອງ​ປະຊຸມ​ມີ​ເປົ້າໝາຍ​ແນໃສ່​ທົບ​ທວນຄືນ​ວຽກງານ​ການ​ຮ່ວມ​ມືລະຫວ່າງລັດຖະ​ບານ ກັບອົງການຈັດ​ຕັ້ງ​ສາກົນ​
ທີ່​ບໍ່​ສັງກັດ​ລັດ​ຖະບານ ເປັນຕົ້ນມາ
ສະເຫຼີມ​ໄຊ ໄດ້​ເນັ້ນ​ໃຫ້​ກອງ​ປະຊຸມ​ຄັ້ງ​ນີ້​ແລກປ່ຽນ​ຄຳ​ຄິດ​ຄຳ​ເຫັນ
ປືກ​ສາຫາລື​ກັນ​ຢ່າງ​ກົງ​ໄປ​ກົງ​ມາ ມີ​ຄວາມ​ຮັບຜິດຊອບ
ແນໃສ່​ຮັບປະກັນ​ປະສິດທິພາບ ປະສິດທິ​ຜົນ​ຂອງ​ການ​ຮ່ວມ​ມື​ຊ່ວຍເຫຼືອຂອງ​ຕ່າງປະເທດ
